"ID"	"SAC_Processing_Level_Abbreviation"	"Provider_Processing_Level_Abbreviation"	"Processing_Level_Name"	"Default_File_Format"	"Default_Projection"	"Default_Resampling_Algorithm"	"ID"	"SAC_Sensor_Abbreviation"	"Sensor_Abbreviation"
11	"L2B"	"GEC"	"Ellipsoid Geocoded Image (GEC). This high level product precisely locates and rectifies the SAR image on a map projection. Radar backscatter can be derived for geophysical modelling. The scene measures 100 x 100 km and is rotated according to the map grid. There is no correction applied for terrain distortion or radiometry.  (Source Eurimage)"	"TIF"	"UTM"	"ML"	2	"AMI"	"AMI-1"
12	"L3A"	"ORTHO"	"Orthorectified Image (ORTHO). This high level product precisely locates and rectifies the SAR image on a map projection. Radar backscatter can be derived for geophysical modelling. The scene measures 100 x 100 km and is rotated according to the map grid. There is correction applied for terrain distortion and radiometry. (Source Eurimage)"	"TIF"	"UTM"	"ML"	2	"AMI"	"AMI-1"
13	"L4Ad"	"DSM"	"Digital Surface Model (DSM). This is a interferrometrically derived Digital Surface Model."	"TIF"	"UTM"	"ML"	2	"AMI"	"AMI-1"
14	"L0A"	"RCC"	"Raw Computer Compatible Format. This is the raw format of data with no callibration parameters or definitive orbit information imbedded used to exchange data between ground receiving stations."	"RCC"	"ORBIT"	"NA"	3	"TM"	"TM-4"
15	"L0Ra"	"Level-0Ra"	"Imagery provided in acquisition strips with no Radiometric or Geometric corrections applied but containing Ancillary data to do the corrections. This is the archive processing level used by the USGS "	"HDF"	"ORBIT"	"NA"	3	"TM"	"TM-4"
16	"L0Rp"	"Level-0Rp"	"Imagery provided in WRS scenes with no Radiometric or Geometric corrections applied but containing Ancillary data to do the corrections. This is the processing level used to exchange data to institutions that have a Landsat Product Generation System"	"HDF"	"ORBIT"	"NA"	3	"TM"	"TM-4"
17	"L1A"	"L1R"	"Imagery provided in WRS scenes with systematic Radiometric  corrections applied but no systematic Geometric corrections applied containing Ancillary data to do the corrections. "	"HDF"	"ORBIT"	"NA"	3	"TM"	"TM-4"
18	"L2Aa"	"L1G-NOM"	"Systematic Radio- and Geo-metric corrections applied. With poor positional accuracy due to the use of Predictive Ephemeris data and imagery orbit orientated."	"FAST"	"UTM"	"MTF"	3	"TM"	"TM-4"
19	"L2Ab"	"L1G-NUP"	"Systematic Radio- and Geo-metric corrections applied. With poor positional accuracy due to the use of Predictive Ephemeris data and imagery North Up / Map orientated."	"FAST"	"UTM"	"MTF"	3	"TM"	"TM-4"
20	"L2Ba"	"L1G-NOM"	"Systematic Radio- and Geo-metric corrections applied. With good positional accuracy due to the use of Definitive Ephemeris data and imagery orbit orientated."	"FAST"	"UTM"	"MTF"	3	"TM"	"TM-4"
21	"L2Bb"	"L1G-NUP"	"Systematic Radio- and Geo-metric corrections applied. With poor good positional accuracy due to the use of Definitive Ephemeris data and imagery North Up / Map orientated."	"FAST"	"UTM"	"MTF"	3	"TM"	"TM-4"
22	"L3Aa"	"L1T"	"Orthorectified imagery in 8Bit Digital Number (DN) values"	"TIF"	"UTM"	"CC"	3	"TM"	"TM-4"
23	"L3Ab"	"NA"	"Orthorectified imagery in signed 16Bit values converted to Top of Atmosphere / At Sensor Reflectance scaled to 10 000"	"TIF"	"UTM"	"CC"	3	"TM"	"TM-4"
24	"L3Ac"	"NA"	"Orthorectified imagery in signed 16Bit values converted to Top of Canopy / At Surface Reflectance scaled to 10 000 (this data is atmospherically corrected)"	"TIF"	"UTM"	"CC"	3	"TM"	"TM-4"
25	"L3At"	"NA"	"Orthorectified imagery in signed 16Bit values converted to Top of Atmosphere / At Sensor Reflectance scaled to 10 000 and radiometrically corrected for terrain  (shadow and sunny slopes) applying a topographic normalisation / solar correction"	"TIF"	"UTM"	"CC"	3	"TM"	"TM-4"
26	"L4Aa"	"NA"	"Thematic continuous ancillary data of relevance to an image "	"TIF"	"UTM"	"CC"	3	"TM"	"TM-4"
27	"L4Ab"	"NA"	"Thematic continuous image derivatives consisting of Bare or build-up indices"	"TIF"	"UTM"	"CC"	3	"TM"	"TM-4"
28	"L4Am"	"NA"	"Thematic continuous image derivatives consisting of Mathematical Transformations "	"TIF"	"UTM"	"CC"	3	"TM"	"TM-4"
29	"L4As"	"NA"	"Thematic continuous image derivatives consisting of Statistical calculations"	"TIF"	"UTM"	"CC"	3	"TM"	"TM-4"
30	"L4At"	"NA"	"Thematic continuous image derivatives consisting of Texture Parameters"	"TIF"	"UTM"	"CC"	3	"TM"	"TM-4"
31	"L4Av"	"NA"	"Thematic continuous image derivatives consisting of Vegetation Indices"	"TIF"	"UTM"	"CC"	3	"TM"	"TM-4"
32	"L4Aw"	"NA"	"Thematic continuous image derivatives consisting of Water and Moisture Indices "	"TIF"	"UTM"	"CC"	3	"TM"	"TM-4"
33	"L4Ax"	"NA"	"Thematic continuous image derivatives consisting of Time-Series or Metrics"	"TIF"	"UTM"	"CC"	3	"TM"	"TM-4"
34	"L4Af"	"NA"	"Thematic continuous image derivatives consisting of Spectral Rule Based Features including indices used for a Spectral Rule Based Classification"	"TIF"	"UTM"	"CC"	3	"TM"	"TM-4"
35	"L4Ad"	"NA"	"Thematic continuous image derivatives consisting of Digital Surface Models and DSM derived products"	"TIF"	"UTM"	"CC"	3	"TM"	"TM-4"
36	"L4Br"	"NA"	"Thematic ordinal image derivatives as raster layer consisting of L1 Spectral Rule Based Layers used in a classification "	"TIF"	"UTM"	"CC"	3	"TM"	"TM-4"
37	"L4Bc"	"NA"	"Thematic ordinal image derivatives as raster layer consisting of L2 Spectral Rule Based Layers used in a classification "	"TIF"	"UTM"	"CC"	3	"TM"	"TM-4"
38	"L4B "	"NA"	"Thematic ordinal image derivatives as raster layer representing classes"	"TIF"	"UTM"	"CC"	3	"TM"	"TM-4"
39	"L4C"	"NA"	"Thematic ordinal image derivatives as vector layer representing classes"	"TIF"	"UTM"	"CC"	3	"TM"	"TM-4"
40	"L0A"	"RCC"	"Raw Computer Compatible Format. This is the raw format of data with no callibration parameters or definitive orbit information imbedded used to exchange data between ground receiving stations."	"RCC"	"ORBIT"	"NA"	4	"TM "	"TM-5"
41	"L0Ra"	"Level-0Ra"	"Imagery provided in acquisition strips with no Radiometric or Geometric corrections applied but containing Ancillary data to do the corrections. This is the archive processing level used by the USGS "	"HDF"	"ORBIT"	"NA"	4	"TM "	"TM-5"
42	"L0Rp"	"Level-0Rp"	"Imagery provided in WRS scenes with no Radiometric or Geometric corrections applied but containing Ancillary data to do the corrections. This is the processing level used to exchange data to institutions that have a Landsat Product Generation System"	"HDF"	"ORBIT"	"NA"	4	"TM "	"TM-5"
43	"L1A"	"L1R"	"Imagery provided in WRS scenes with systematic Radiometric  corrections applied but no systematic Geometric corrections applied containing Ancillary data to do the corrections. "	"HDF"	"ORBIT"	"NA"	4	"TM "	"TM-5"
44	"L2Aa"	"L1G-NOM"	"Systematic Radio- and Geo-metric corrections applied. With poor positional accuracy due to the use of Predictive Ephemeris data and imagery orbit orientated."	"FAST"	"UTM"	"MTF"	4	"TM "	"TM-5"
45	"L2Ab"	"L1G-NUP"	"Systematic Radio- and Geo-metric corrections applied. With poor positional accuracy due to the use of Predictive Ephemeris data and imagery North Up / Map orientated."	"FAST"	"UTM"	"MTF"	4	"TM "	"TM-5"
46	"L2Ba"	"L1G-NOM"	"Systematic Radio- and Geo-metric corrections applied. With good positional accuracy due to the use of Definitive Ephemeris data and imagery orbit orientated."	"FAST"	"UTM"	"MTF"	4	"TM "	"TM-5"
47	"L2Bb"	"L1G-NUP"	"Systematic Radio- and Geo-metric corrections applied. With poor good positional accuracy due to the use of Definitive Ephemeris data and imagery North Up / Map orientated."	"FAST"	"UTM"	"MTF"	4	"TM "	"TM-5"
48	"L3Aa"	"L1T"	"Orthorectified imagery in 8Bit Digital Number (DN) values"	"TIF"	"UTM"	"CC"	4	"TM "	"TM-5"
49	"L3Ab"	"NA"	"Orthorectified imagery in signed 16Bit values converted to Top of Atmosphere / At Sensor Reflectance scaled to 10 000"	"TIF"	"UTM"	"CC"	4	"TM "	"TM-5"
50	"L3Ac"	"NA"	"Orthorectified imagery in signed 16Bit values converted to Top of Canopy / At Surface Reflectance scaled to 10 000 (this data is atmospherically corrected)"	"TIF"	"UTM"	"CC"	4	"TM "	"TM-5"
51	"L3At"	"NA"	"Orthorectified imagery in signed 16Bit values converted to Top of Atmosphere / At Sensor Reflectance scaled to 10 000 and radiometrically corrected for terrain  (shadow and sunny slopes) applying a topographic normalisation / solar correction"	"TIF"	"UTM"	"CC"	4	"TM "	"TM-5"
52	"L4Aa"	"NA"	"Thematic continuous ancillary data of relevance to an image "	"TIF"	"UTM"	"CC"	4	"TM "	"TM-5"
53	"L4Ab"	"NA"	"Thematic continuous image derivatives consisting of Bare or build-up indices"	"TIF"	"UTM"	"CC"	4	"TM "	"TM-5"
54	"L4Am"	"NA"	"Thematic continuous image derivatives consisting of Mathematical Transformations "	"TIF"	"UTM"	"CC"	4	"TM "	"TM-5"
55	"L4As"	"NA"	"Thematic continuous image derivatives consisting of Statistical calculations"	"TIF"	"UTM"	"CC"	4	"TM "	"TM-5"
56	"L4At"	"NA"	"Thematic continuous image derivatives consisting of Texture Parameters"	"TIF"	"UTM"	"CC"	4	"TM "	"TM-5"
57	"L4Av"	"NA"	"Thematic continuous image derivatives consisting of Vegetation Indices"	"TIF"	"UTM"	"CC"	4	"TM "	"TM-5"
58	"L4Aw"	"NA"	"Thematic continuous image derivatives consisting of Water and Moisture Indices "	"TIF"	"UTM"	"CC"	4	"TM "	"TM-5"
59	"L4Ax"	"NA"	"Thematic continuous image derivatives consisting of Time-Series or Metrics"	"TIF"	"UTM"	"CC"	4	"TM "	"TM-5"
60	"L4Af"	"NA"	"Thematic continuous image derivatives consisting of Spectral Rule Based Features including indices used for a Spectral Rule Based Classification"	"TIF"	"UTM"	"CC"	4	"TM "	"TM-5"
61	"L4Ad"	"NA"	"Thematic continuous image derivatives consisting of Digital Surface Models and DSM derived products"	"TIF"	"UTM"	"CC"	4	"TM "	"TM-5"
62	"L4Br"	"NA"	"Thematic ordinal image derivatives as raster layer consisting of L1 Spectral Rule Based Layers used in a classification "	"TIF"	"UTM"	"CC"	4	"TM "	"TM-5"
63	"L4Bc"	"NA"	"Thematic ordinal image derivatives as raster layer consisting of L2 Spectral Rule Based Layers used in a classification "	"TIF"	"UTM"	"CC"	4	"TM "	"TM-5"
64	"L4B "	"NA"	"Thematic ordinal image derivatives as raster layer representing classes"	"TIF"	"UTM"	"CC"	4	"TM "	"TM-5"
65	"L4C"	"NA"	"Thematic ordinal image derivatives as vector layer representing classes"	"TIF"	"UTM"	"CC"	4	"TM "	"TM-5"
66	"L0A"	"RCC"	"Raw Computer Compatible Format. This is the raw format of data with no callibration parameters or definitive orbit information imbedded used to exchange data between ground receiving stations."	"RCC"	"ORBIT"	"NA"	5	"MSS "	"MSS-1"
67	"L0Ra"	"Level-0Ra"	"Imagery provided in acquisition strips with no Radiometric or Geometric corrections applied but containing Ancillary data to do the corrections. This is the archive processing level used by the USGS "	"CEOS"	"ORBIT"	"NA"	5	"MSS "	"MSS-1"
68	"L0Rp"	"Level-0Rp"	"Imagery provided in WRS scenes with no Radiometric or Geometric corrections applied but containing Ancillary data to do the corrections. This is the processing level used to exchange data to institutions that have a Landsat Product Generation System"	"CEOS"	"ORBIT"	"NA"	5	"MSS "	"MSS-1"
69	"L1A"	"L1R"	"Imagery provided in WRS scenes with systematic Radiometric  corrections applied but no systematic Geometric corrections applied containing Ancillary data to do the corrections. "	"CEOS"	"ORBIT"	"NA"	5	"MSS "	"MSS-1"
70	"L2Aa"	"L1G-NOM"	"Systematic Radio- and Geo-metric corrections applied. With poor positional accuracy due to the use of Predictive Ephemeris data and imagery orbit orientated."	"CEOS"	"UTM"	"MTF"	5	"MSS "	"MSS-1"
71	"L2Ab"	"L1G-NUP"	"Systematic Radio- and Geo-metric corrections applied. With poor positional accuracy due to the use of Predictive Ephemeris data and imagery North Up / Map orientated."	"CEOS"	"UTM"	"MTF"	5	"MSS "	"MSS-1"
72	"L2Ba"	"L1G-NOM"	"Systematic Radio- and Geo-metric corrections applied. With good positional accuracy due to the use of Definitive Ephemeris data and imagery orbit orientated."	"CEOS"	"UTM"	"MTF"	5	"MSS "	"MSS-1"
73	"L2Bb"	"L1G-NUP"	"Systematic Radio- and Geo-metric corrections applied. With poor good positional accuracy due to the use of Definitive Ephemeris data and imagery North Up / Map orientated."	"CEOS"	"UTM"	"MTF"	5	"MSS "	"MSS-1"
74	"L3Aa"	"L1T"	"Orthorectified imagery in 8Bit Digital Number (DN) values"	"TIF"	"UTM"	"CC"	5	"MSS "	"MSS-1"
75	"L3Ab"	"NA"	"Orthorectified imagery in signed 16Bit values converted to Top of Atmosphere / At Sensor Reflectance scaled to 10 000"	"TIF"	"UTM"	"CC"	5	"MSS "	"MSS-1"
76	"L3Ac"	"NA"	"Orthorectified imagery in signed 16Bit values converted to Top of Canopy / At Surface Reflectance scaled to 10 000 (this data is atmospherically corrected)"	"TIF"	"UTM"	"CC"	5	"MSS "	"MSS-1"
77	"L3At"	"NA"	"Orthorectified imagery in signed 16Bit values converted to Top of Atmosphere / At Sensor Reflectance scaled to 10 000 and radiometrically corrected for terrain  (shadow and sunny slopes) applying a topographic normalisation / solar correction"	"TIF"	"UTM"	"CC"	5	"MSS "	"MSS-1"
78	"L4Aa"	"NA"	"Thematic continuous ancillary data of relevance to an image "	"TIF"	"UTM"	"CC"	5	"MSS "	"MSS-1"
79	"L4Ab"	"NA"	"Thematic continuous image derivatives consisting of Bare or build-up indices"	"TIF"	"UTM"	"CC"	5	"MSS "	"MSS-1"
80	"L4Am"	"NA"	"Thematic continuous image derivatives consisting of Mathematical Transformations "	"TIF"	"UTM"	"CC"	5	"MSS "	"MSS-1"
81	"L4As"	"NA"	"Thematic continuous image derivatives consisting of Statistical calculations"	"TIF"	"UTM"	"CC"	5	"MSS "	"MSS-1"
82	"L4At"	"NA"	"Thematic continuous image derivatives consisting of Texture Parameters"	"TIF"	"UTM"	"CC"	5	"MSS "	"MSS-1"
83	"L4Av"	"NA"	"Thematic continuous image derivatives consisting of Vegetation Indices"	"TIF"	"UTM"	"CC"	5	"MSS "	"MSS-1"
84	"L4Aw"	"NA"	"Thematic continuous image derivatives consisting of Water and Moisture Indices "	"TIF"	"UTM"	"CC"	5	"MSS "	"MSS-1"
85	"L4Ax"	"NA"	"Thematic continuous image derivatives consisting of Time-Series or Metrics"	"TIF"	"UTM"	"CC"	5	"MSS "	"MSS-1"
86	"L4Af"	"NA"	"Thematic continuous image derivatives consisting of Spectral Rule Based Features including indices used for a Spectral Rule Based Classification"	"TIF"	"UTM"	"CC"	5	"MSS "	"MSS-1"
87	"L4Ad"	"NA"	"Thematic continuous image derivatives consisting of Digital Surface Models and DSM derived products"	"TIF"	"UTM"	"CC"	5	"MSS "	"MSS-1"
88	"L4Br"	"NA"	"Thematic ordinal image derivatives as raster layer consisting of L1 Spectral Rule Based Layers used in a classification "	"TIF"	"UTM"	"CC"	5	"MSS "	"MSS-1"
89	"L4Bc"	"NA"	"Thematic ordinal image derivatives as raster layer consisting of L2 Spectral Rule Based Layers used in a classification "	"TIF"	"UTM"	"CC"	5	"MSS "	"MSS-1"
90	"L4B "	"NA"	"Thematic ordinal image derivatives as raster layer representing classes"	"TIF"	"UTM"	"CC"	5	"MSS "	"MSS-1"
91	"L4C"	"NA"	"Thematic ordinal image derivatives as vector layer representing classes"	"TIF"	"UTM"	"CC"	5	"MSS "	"MSS-1"
92	"L0A"	"RCC"	"Raw Computer Compatible Format. This is the raw format of data with no callibration parameters or definitive orbit information imbedded used to exchange data between ground receiving stations."	"RCC"	"ORBIT"	"NA"	6	"MSS"	"MSS-2"
93	"L0Ra"	"Level-0Ra"	"Imagery provided in acquisition strips with no Radiometric or Geometric corrections applied but containing Ancillary data to do the corrections. This is the archive processing level used by the USGS "	"CEOS"	"ORBIT"	"NA"	6	"MSS"	"MSS-2"
94	"L0Rp"	"Level-0Rp"	"Imagery provided in WRS scenes with no Radiometric or Geometric corrections applied but containing Ancillary data to do the corrections. This is the processing level used to exchange data to institutions that have a Landsat Product Generation System"	"CEOS"	"ORBIT"	"NA"	6	"MSS"	"MSS-2"
95	"L1A"	"L1R"	"Imagery provided in WRS scenes with systematic Radiometric  corrections applied but no systematic Geometric corrections applied containing Ancillary data to do the corrections. "	"CEOS"	"ORBIT"	"NA"	6	"MSS"	"MSS-2"
96	"L2Aa"	"L1G-NOM"	"Systematic Radio- and Geo-metric corrections applied. With poor positional accuracy due to the use of Predictive Ephemeris data and imagery orbit orientated."	"CEOS"	"UTM"	"MTF"	6	"MSS"	"MSS-2"
97	"L2Ab"	"L1G-NUP"	"Systematic Radio- and Geo-metric corrections applied. With poor positional accuracy due to the use of Predictive Ephemeris data and imagery North Up / Map orientated."	"CEOS"	"UTM"	"MTF"	6	"MSS"	"MSS-2"
98	"L2Ba"	"L1G-NOM"	"Systematic Radio- and Geo-metric corrections applied. With good positional accuracy due to the use of Definitive Ephemeris data and imagery orbit orientated."	"CEOS"	"UTM"	"MTF"	6	"MSS"	"MSS-2"
99	"L2Bb"	"L1G-NUP"	"Systematic Radio- and Geo-metric corrections applied. With poor good positional accuracy due to the use of Definitive Ephemeris data and imagery North Up / Map orientated."	"CEOS"	"UTM"	"MTF"	6	"MSS"	"MSS-2"
100	"L3Aa"	"L1T"	"Orthorectified imagery in 8Bit Digital Number (DN) values"	"TIF"	"UTM"	"CC"	6	"MSS"	"MSS-2"
101	"L3Ab"	"NA"	"Orthorectified imagery in signed 16Bit values converted to Top of Atmosphere / At Sensor Reflectance scaled to 10 000"	"TIF"	"UTM"	"CC"	6	"MSS"	"MSS-2"
102	"L3Ac"	"NA"	"Orthorectified imagery in signed 16Bit values converted to Top of Canopy / At Surface Reflectance scaled to 10 000 (this data is atmospherically corrected)"	"TIF"	"UTM"	"CC"	6	"MSS"	"MSS-2"
103	"L3At"	"NA"	"Orthorectified imagery in signed 16Bit values converted to Top of Atmosphere / At Sensor Reflectance scaled to 10 000 and radiometrically corrected for terrain  (shadow and sunny slopes) applying a topographic normalisation / solar correction"	"TIF"	"UTM"	"CC"	6	"MSS"	"MSS-2"
104	"L4Aa"	"NA"	"Thematic continuous ancillary data of relevance to an image "	"TIF"	"UTM"	"CC"	6	"MSS"	"MSS-2"
105	"L4Ab"	"NA"	"Thematic continuous image derivatives consisting of Bare or build-up indices"	"TIF"	"UTM"	"CC"	6	"MSS"	"MSS-2"
106	"L4Am"	"NA"	"Thematic continuous image derivatives consisting of Mathematical Transformations "	"TIF"	"UTM"	"CC"	6	"MSS"	"MSS-2"
107	"L4As"	"NA"	"Thematic continuous image derivatives consisting of Statistical calculations"	"TIF"	"UTM"	"CC"	6	"MSS"	"MSS-2"
108	"L4At"	"NA"	"Thematic continuous image derivatives consisting of Texture Parameters"	"TIF"	"UTM"	"CC"	6	"MSS"	"MSS-2"
109	"L4Av"	"NA"	"Thematic continuous image derivatives consisting of Vegetation Indices"	"TIF"	"UTM"	"CC"	6	"MSS"	"MSS-2"
110	"L4Aw"	"NA"	"Thematic continuous image derivatives consisting of Water and Moisture Indices "	"TIF"	"UTM"	"CC"	6	"MSS"	"MSS-2"
111	"L4Ax"	"NA"	"Thematic continuous image derivatives consisting of Time-Series or Metrics"	"TIF"	"UTM"	"CC"	6	"MSS"	"MSS-2"
112	"L4Af"	"NA"	"Thematic continuous image derivatives consisting of Spectral Rule Based Features including indices used for a Spectral Rule Based Classification"	"TIF"	"UTM"	"CC"	6	"MSS"	"MSS-2"
113	"L4Ad"	"NA"	"Thematic continuous image derivatives consisting of Digital Surface Models and DSM derived products"	"TIF"	"UTM"	"CC"	6	"MSS"	"MSS-2"
114	"L4Br"	"NA"	"Thematic ordinal image derivatives as raster layer consisting of L1 Spectral Rule Based Layers used in a classification "	"TIF"	"UTM"	"CC"	6	"MSS"	"MSS-2"
115	"L4Bc"	"NA"	"Thematic ordinal image derivatives as raster layer consisting of L2 Spectral Rule Based Layers used in a classification "	"TIF"	"UTM"	"CC"	6	"MSS"	"MSS-2"
116	"L4B "	"NA"	"Thematic ordinal image derivatives as raster layer representing classes"	"TIF"	"UTM"	"CC"	6	"MSS"	"MSS-2"
117	"L4C"	"NA"	"Thematic ordinal image derivatives as vector layer representing classes"	"TIF"	"UTM"	"CC"	6	"MSS"	"MSS-2"
118	"L0A"	"RCC"	"Raw Computer Compatible Format. This is the raw format of data with no callibration parameters or definitive orbit information imbedded used to exchange data between ground receiving stations."	"RCC"	"ORBIT"	"NA"	7	"MSS"	"MSS-3"
119	"L0Ra"	"Level-0Ra"	"Imagery provided in acquisition strips with no Radiometric or Geometric corrections applied but containing Ancillary data to do the corrections. This is the archive processing level used by the USGS "	"CEOS"	"ORBIT"	"NA"	7	"MSS"	"MSS-3"
120	"L0Rp"	"Level-0Rp"	"Imagery provided in WRS scenes with no Radiometric or Geometric corrections applied but containing Ancillary data to do the corrections. This is the processing level used to exchange data to institutions that have a Landsat Product Generation System"	"CEOS"	"ORBIT"	"NA"	7	"MSS"	"MSS-3"
121	"L1A"	"L1R"	"Imagery provided in WRS scenes with systematic Radiometric  corrections applied but no systematic Geometric corrections applied containing Ancillary data to do the corrections. "	"CEOS"	"ORBIT"	"NA"	7	"MSS"	"MSS-3"
122	"L2Aa"	"L1G-NOM"	"Systematic Radio- and Geo-metric corrections applied. With poor positional accuracy due to the use of Predictive Ephemeris data and imagery orbit orientated."	"CEOS"	"UTM"	"MTF"	7	"MSS"	"MSS-3"
123	"L2Ab"	"L1G-NUP"	"Systematic Radio- and Geo-metric corrections applied. With poor positional accuracy due to the use of Predictive Ephemeris data and imagery North Up / Map orientated."	"CEOS"	"UTM"	"MTF"	7	"MSS"	"MSS-3"
124	"L2Ba"	"L1G-NOM"	"Systematic Radio- and Geo-metric corrections applied. With good positional accuracy due to the use of Definitive Ephemeris data and imagery orbit orientated."	"CEOS"	"UTM"	"MTF"	7	"MSS"	"MSS-3"
125	"L2Bb"	"L1G-NUP"	"Systematic Radio- and Geo-metric corrections applied. With poor good positional accuracy due to the use of Definitive Ephemeris data and imagery North Up / Map orientated."	"CEOS"	"UTM"	"MTF"	7	"MSS"	"MSS-3"
126	"L3Aa"	"L1T"	"Orthorectified imagery in 8Bit Digital Number (DN) values"	"TIF"	"UTM"	"CC"	7	"MSS"	"MSS-3"
127	"L3Ab"	"NA"	"Orthorectified imagery in signed 16Bit values converted to Top of Atmosphere / At Sensor Reflectance scaled to 10 000"	"TIF"	"UTM"	"CC"	7	"MSS"	"MSS-3"
128	"L3Ac"	"NA"	"Orthorectified imagery in signed 16Bit values converted to Top of Canopy / At Surface Reflectance scaled to 10 000 (this data is atmospherically corrected)"	"TIF"	"UTM"	"CC"	7	"MSS"	"MSS-3"
129	"L3At"	"NA"	"Orthorectified imagery in signed 16Bit values converted to Top of Atmosphere / At Sensor Reflectance scaled to 10 000 and radiometrically corrected for terrain  (shadow and sunny slopes) applying a topographic normalisation / solar correction"	"TIF"	"UTM"	"CC"	7	"MSS"	"MSS-3"
130	"L4Aa"	"NA"	"Thematic continuous ancillary data of relevance to an image "	"TIF"	"UTM"	"CC"	7	"MSS"	"MSS-3"
131	"L4Ab"	"NA"	"Thematic continuous image derivatives consisting of Bare or build-up indices"	"TIF"	"UTM"	"CC"	7	"MSS"	"MSS-3"
132	"L4Am"	"NA"	"Thematic continuous image derivatives consisting of Mathematical Transformations "	"TIF"	"UTM"	"CC"	7	"MSS"	"MSS-3"
133	"L4As"	"NA"	"Thematic continuous image derivatives consisting of Statistical calculations"	"TIF"	"UTM"	"CC"	7	"MSS"	"MSS-3"
134	"L4At"	"NA"	"Thematic continuous image derivatives consisting of Texture Parameters"	"TIF"	"UTM"	"CC"	7	"MSS"	"MSS-3"
135	"L4Av"	"NA"	"Thematic continuous image derivatives consisting of Vegetation Indices"	"TIF"	"UTM"	"CC"	7	"MSS"	"MSS-3"
136	"L4Aw"	"NA"	"Thematic continuous image derivatives consisting of Water and Moisture Indices "	"TIF"	"UTM"	"CC"	7	"MSS"	"MSS-3"
137	"L4Ax"	"NA"	"Thematic continuous image derivatives consisting of Time-Series or Metrics"	"TIF"	"UTM"	"CC"	7	"MSS"	"MSS-3"
138	"L4Af"	"NA"	"Thematic continuous image derivatives consisting of Spectral Rule Based Features including indices used for a Spectral Rule Based Classification"	"TIF"	"UTM"	"CC"	7	"MSS"	"MSS-3"
139	"L4Ad"	"NA"	"Thematic continuous image derivatives consisting of Digital Surface Models and DSM derived products"	"TIF"	"UTM"	"CC"	7	"MSS"	"MSS-3"
140	"L4Br"	"NA"	"Thematic ordinal image derivatives as raster layer consisting of L1 Spectral Rule Based Layers used in a classification "	"TIF"	"UTM"	"CC"	7	"MSS"	"MSS-3"
141	"L4Bc"	"NA"	"Thematic ordinal image derivatives as raster layer consisting of L2 Spectral Rule Based Layers used in a classification "	"TIF"	"UTM"	"CC"	7	"MSS"	"MSS-3"
